trip_distance,tip_amount,fare_amount,total_amount,passenger_count,start_hour,start_day,start_weekday,start_month,trip_duration_minutes
1.17,1.76,8.0,10.56,1.0,9,1,Thursday,7,9.533333333333333
0.65,0.0,4.5,8.05,1.0,9,1,Thursday,7,4.1
3.17,0.0,14.0,14.8,1.0,9,1,Thursday,7,17.9
5.65,2.08,21.0,26.63,1.0,9,1,Thursday,7,26.6
1.03,0.0,6.5,7.3,1.0,9,1,Thursday,7,10.066666666666666
3.47,0.0,17.5,18.3,1.0,9,1,Thursday,7,24.6
3.43,5.0,40.0,51.85,1.0,9,1,Thursday,7,8.666666666666666
5.4,4.95,19.0,24.75,1.0,9,1,Thursday,7,19.216666666666665
1.18,0.0,7.5,8.3,1.0,8,1,Thursday,7,8.283333333333333
0.49,0.0,5.0,5.8,1.0,9,1,Thursday,7,4.633333333333334
1.23,0.0,7.5,8.3,1.0,9,1,Thursday,7,9.366666666666667
0.53,0.0,4.5,5.3,1.0,9,1,Thursday,7,3.933333333333333
3.3,3.8,14.5,19.1,1.0,9,1,Thursday,7,18.366666666666667
0.7,1.7,5.0,7.5,1.0,9,1,Thursday,7,4.233333333333333
3.8,0.0,14.5,15.3,1.0,9,1,Thursday,7,15.45
3.95,3.56,17.0,21.36,1.0,9,1,Thursday,7,19.2
2.17,2.41,8.5,14.46,1.0,9,1,Thursday,7,8.133333333333333
5.86,8.66,21.5,37.51,1.0,9,1,Thursday,7,22.916666666666668
2.74,0.0,11.5,12.3,1.0,9,1,Thursday,7,10.616666666666667
1.34,1.54,9.5,13.79,1.0,9,1,Thursday,7,13.55
37.6,0.0,0.0,0.0,1.0,9,1,Thursday,7,330.53333333333336
